id	sentence	label
c1001	 so plan on spending a few hours un-installing the junk you dont want .	screen
c1002	" i gave it a 1 , because it 's junk ."	screen
c1003	" now , sony is officially in my \ '' un-trusted brand\ '' list ."	screen
c1004	" f you use this monitor for playing games and watching dvds , you will probably not be bothered by any of the blurryness , but if you spend a lot of time each day looking at text , i would reccomend getting another monitor ."	screen
c1005	 a lousy card will make a great monitor look bad .	screen
c1006	" great resolution , very comfortable , and the thumb button is great for games and browsing ."	screen
c1007	 larger monitors further back are easier on the eyes because they do n't require close focusing which causes strain .	screen
c1008	 it puts no strain on ones eyes and it effortlessly adjusts to any useable position with the touch of a finger .	screen
c1009	 like internet ( could be faster than dramcast 's 56k ! ! ! ) .	screen
c1010	 chose the 2435 over the 5105 because it is faster .	screen
c1011	 very graphical mode remembers separate settings ( horizontal and vertical displacement ; colors etc .	screen
c1012	 now and after only two months i got a fixed horizontal white line on the lcd display .	screen
c1013	" text ( when small fonts are used in windows display settings ) is very sharp at 1024x768 resolution , but becomes hard to read at higher resolutions ."	screen
c1014	 your pc needs to be able to perform well at higher resolutions as well .	screen
c1015	" losing thought : monitors of this size are designed to run at the higher resolutions , so if you ca n't get readable text , good color , etc ."	screen
c1016	" keep rebooting , and eventually , it will display and image ."	screen
c1017	" 7 , so text is more crisp and pictures sharper ."	screen
c1018	 i find it works better a little further back than most lcds i 've been used to due to the relatively large pixel pitch resulting from 1600x1200 at 21 .	screen
c1019	 nd then it still had problems reading text ) .	screen
c1020	" the display looks really good , i 'm using it at 1600x1200 and there is no problem , text looks sharp , clear , and very readable , even from the sides ."	screen
c1021	" they are blurry at all resolutions , making them very unpleasant to use all day ."	screen
c1022	 the display is sharp and clear ; software just installs and works ; i have only managed to crash it once since i bought it two months ago .	screen
c1023	 you must have the included program that makes them readable .	screen
c1024	 the satellite is a little more \ '' chunky\ '' looking and the display did not look as sharp or as bright when i saw the two computers side by side .	screen
c1025	" also , the monitor seems to run quite a bit cooler than my 17 & quot ; did , which in my small office is a real factor ."	screen
c1026	" i 've never had a problem with over-heating like i had with my previous monitor , although i must say that this monitor does put out quite a bit of warmth when i 've had it on all day ."	screen
c1027	 i was stuck in the torment which is a really old small monitor .	screen
c1028	 i bought this monitor to replace my aging acer 15 & quot ; monitor .	screen
c1029	" this monitor is amazingly sweet , it dosent have quite the footprint on your desk as a normal 19 ' monitor , its easily the most system compatible monitor i 've seen ."	screen
c1030	" i 'm here , a year later to surprisingly come to the conclusion , it was the monitor ."	screen
c1031	" you could spend less for a 19 & quot ; monitor , but after using it for a couple of months , this one justifies itself ."	screen
c1032	 i wanted a 17\ '' monitor not too expensive ( like lcd ) and not too cheap ( like no name brand ) to replace my existing komodo 17\ '' monitor ( aviod this brand ) which is becoming not too easy on my eyes .	screen
c1033	 i debated over and over with this monitor and the cheaper monitors which had fewer features .	screen
c1034	" this monitor is the smaller sibling of the 240t , which is an otherwise identical monitor , with identical height and pixel size , but with a 24 & quot ; diagonal at 1920x1200 resolution ."	screen
c1035	" if you do n't have a monitor already , get an hp monitor that matches , so you can hook the speakers on the sides ."	screen
c1036	" the machine is quiet , fast , and did n't cost me an arm and a leg even with the 19 & quot ; fd trinitron monitor that i also bought along with the system unit ."	screen
c1037	" irst off , i really like the swivel monitor ."	screen
c1038	" it features a beautiful , bright 15 & quot ; monitor ."	screen
c1039	 to the person who recommened the envision en-5200e 15 & quot ; lcd monitor instead of the viewsonic airpanel v110 10 & quot ; smart display .	screen
c1040	 i have a 15 & quot ; rad lcd monitor which i like fairly well .	screen
c1041	 all the other systems with similar setup and \ '' included\ '' monitor were [ $ ] and up ( only 17\ '' or 15\ '' too ) so this is very worth it even wothout monitor .	screen
c1042	 i like this since i can pick and choose my own monitor actually .	screen
c1043	" a 15 ' lcd monitor ( yes , that is too small for most people ! ) can not be blamed on a computer 's bad performance , and according to the description it sounds more like a faulty driver or a software conflict caused the system to be unstable ."	screen
c1044	" over time the brightness problem led to eyestrain , and it was typical for my eyes to hurt after a day in front of this monitor ."	screen
c1045	" im stressing this because , this kind of monitor reduces light glare which is better for you eyes than a regular monitor ."	screen
c1046	" it 's also very healthy as far as monitors go , with the anti glare , anti static coatings ."	screen
c1047	" large working space , easy on the eyes , and awesome look ."	screen
c1048	" he extra usb ports ( 2 ) are especially useful in desktop macs - i plugged my keyboard directly into the display - and the brightness and contrast ratio are very easy on the eyes and makes streaming video , playing games , and editing photos a much richer experience ."	screen
c1049	" i would have slightly preferred a 1200x800 resolution , but on the other hand , the standard xga 's 1024x768 display is easier on the eyes , esp ."	screen
c1050	 i have probably burnt 50 or more cd 's .	screen
c1051	 and they will not fix it until more than 5 pixels are burnt .	screen
c1052	 the lcd display is beautiful .	screen
c1053	" it is so beautiful that , even weeks after receiving it , i 'll just sit there staring at it , still amazed that this is a computer ."	screen
c1054	" he display is a very nice 14\ '' active matrix , with great brightness and resolution ."	screen
c1055	 inch active-matrix display is bright and the colors are vivid .	screen
c1056	" he unit comes equipped as a standard option with dvd/cdrw combo , 16 bit ( yamaha ymf753 codec chip ) digital audio card with toshiba 's personal theatre uxga active matrix display capable of resolutions of up to 1280x1024 resolution with the standard rca tv out port if you want or need to hook up your laptop to a tv or projector ."	screen
c1057	" the 15\ '' active matrix lcd display is bright , clear , and crisp ."	screen
c1058	 highest resolution in its classdetail is everything ; and the fs4000us ensures each image looks its best .	screen
c1059	 so far i just have my resolution set on 1152 x 864 .	screen
c1060	 i love all the choices it gives you to change your resolution to .	screen
c1061	" it 's fast , and has very high resolution ( remember the old 832x days ? ) os x 10 ."	screen
c1062	 ) out of the box ! xfree86 and kde3 are a thing to see when running at 1280x1024 resolution .	screen
c1063	" this is a fantastic monitor , but the advertised resolution is not accurate ."	screen
c1064	" in \ '' tack sharp ! \ '' with matt kloskowski , you 'll learn why you sharpen in the first place and what you can do when you take photos that will affect how sharp they appear ."	screen
c1065	 the picture is vibrant and sharp .	screen
c1066	" `` shortly after i started , my new \ '' viewsonic e790b\ '' was delivered to my cube , and at first i was impressed , very impressed ; the picture was clear , sharp ( though not as sharp as i would have liked ) and free of annoying flicker ."	screen
c1067	 this scanner 's color is unusually clean because it 's designed and built to accuracy standards higher than other conventional scanners .	screen
