id	sentence	label
p1001	" this is just like a back of the phone replacement , so it does n't add to much weight"	size
p1002	 they charge my phone faster then the wall outlet which i find weird and the little light is nice and easy .	size
p1003	 i did n't want to charge my phone by plugging it into the computer and did n't have a space real close to an electrical outlet that i wanted to keep my phone .	size
p1004	 love that you can charge from computer or outlet .	size
p1005	 the whole point was being able to charge the phone from the wall jack .	size
p1006	" also , i like the fact that you can plug it into an electrical outlet or you can use the usb to charge the phone ."	size
p1007	 this charger is very compact and charges my bluetooth very well .	size
p1008	 charges at a good speed and is pretty compact .	size
p1009	" the picture did n't do justice the case is more beautiful than the picture thank you for the promp delivery enjoying the case all my friends ask me where i got it from , again thank you ."	size
p1010	 this is not at all like the picture showed .	size
p1011	" it fits the phone nicely and i like the picture , and did n't take long to get to me in the mail"	size
p1012	 it does not look like the one in the picture .	size
p1013	 this charger does not look like the original charger nor does it look like the image .	size
p1014	 i have to unplug to unlock or to even look at a message .	size
p1015	" if you are looking for ringtones , look elsewhere ."	size
p1016	" i admit i look a little like the borg assimilated lily tomlin , but for my dollar this is the best accessory out there ."	size
p1017	" of course , style is a personal matter and i happen to like the look of the orange canvas ."	size
p1018	 if you use it constantly you might want to consider a thicker cord .	size
p1019	 & lt ; sigh > i guess i need to boost up my ego to make my head larger .	size
p1020	 the only negative thing i can really think of to say about it is that this headset is definitely made for people with smaller heads .	size
p1021	 it make it inconvenient because i did n't want to have to cut out the screensavers .	size
p1022	 i decided to step down to the m110 to cut my lose if he chewed through his third .	size
p1023	 i love motorola but this product is a big disappointment .	size
p1024	 i prefer a much heavier stylus - so i find the sony version a bit disappointing .	size
p1025	" literally , it broke the instant i inserted it into the phone 's case ."	size
p1026	 i turned it in every conceivable orientation and never found a good fit to my ear .	size
p1027	 and it 's lightweight makes the ideal external batt .	size
p1028	 this product performs as advertized : small form factor & unobtrusive .	size
p1029	 ) my final concern would be the lightweight construction .	size
p1030	 it is very lightweight and looks fine while wearing it ...	size
p1031	" the 6 x 3 inch description is inaccurate ( and incomplete , since the 3rd dimension matters ) ."	size
p1032	" this battery adds 3/4 inch to the length and 1/4 inch to the depth of a t18 , which is impossible to tell from the photograph ."	size
p1033	 first thing i noticed was that it was larger than i anticipated .	size
p1034	 larger than i thought it would be my cell phone was very loose in it .	size
p1035	 i f you have a normal to smaller ear do n't bother with these .	size
